date,decision,rate_before,rate_after,rate_change,expected_change,surprise,chair,regime,sentiment,lm_score,cb_score,word_count,sp500_ret,nasdaq_ret,gold_ret,ty10_chg,tb13w_chg,vix,term_spread,vwretd_day,vwretd_pre,vwretd_post,vwretd_2d,spindx,ewretd_day,sprtrn_day,fin_ew_ret,fin_vw_ret,fin_n_stocks,target_shock,path_shock,kuttner_bp,ns_shock,fg_period,sentiment_x_fg,min_sentiment,min_lm_score,min_cb_score,min_word_count,min_cb_x_fg
2006-01-31,rate_hike,4.25,4.5,0.25,0.0,0.25,Greenspan,conventional,0.0112612612612612,0.0367867867867867,-0.0142642642642642,1332,0.185926267461282,0.2055663535684106,-0.2452633862728851,0.0339999198913574,-0.0079998970031738,12.949999809265137,0.1570000648498535,-0.001529,0.001837,0.001468,-6.100000000000007e-05,1280.08,0.002841,-0.003984,,,,0.3987485911527393,0.7046261016213693,0.4999999999999005,0.7823846582363789,0,0.0,0.0137204366282595,0.0228926622195269,0.0045482110369921,6596,0.0
2006-03-28,rate_hike,4.5,4.75,0.25,0.0,0.25,Bernanke,conventional,0.0111510791366906,0.0381294964028776,-0.0158273381294964,1390,0.7469695510914525,1.445894870129127,1.1295490098537415,0.0320000648498535,-0.0250000953674316,11.579999923706056,0.2509999275207519,-0.005286,-0.000986,0.009242,0.003956,1293.23,-0.002449,-0.006438,,,,0.2600539341915884,1.2408831138111704,0.4999999999999005,1.1431008298677563,0,0.0,0.0256152687091913,0.0359116022099447,0.0153189352084379,3982,0.0
2006-05-10,rate_hike,4.75,5.0,0.25,0.0,0.25,Bernanke,conventional,0.011969904240766,0.0362517099863201,-0.0123119015047879,1462,-1.279807382021996,-2.070031079080443,2.2879032693836057,0.0300002098083496,-0.0569996833801269,11.779999732971191,0.3730001449584961,-0.001461,0.000884,-0.013542,-0.015003,1322.85,-0.0035,-0.001728,,,,0.228922167595137,1.351522891856268,0.0,1.2008527988628237,0,0.0,0.0266870444392193,0.0392664001881025,0.0141076886903362,4253,0.0
2006-06-29,rate_hike,5.0,5.25,0.25,0.0,0.25,Bernanke,conventional,0.0125089349535382,0.035025017869907,-0.0100071479628305,1399,-0.2097656442177884,-0.1053079519349311,4.603580562659847,-0.0619997978210449,-0.0049996376037597,13.029999732971191,0.3350000381469726,0.02362,0.004934,0.001016,0.0246359999999999,1272.87,0.022214,0.021565,,,,-0.3653419077791956,-0.5109498630665854,-1.4999999999998792,-0.6100387513082035,0,0.0,0.0187591956841589,0.0242766061794997,0.013241785188818,4078,0.0
2007-09-18,rate_cut,5.25,4.75,-0.5,0.0,-0.5,Bernanke,conventional,0.010226442658875,0.0387143900657414,-0.0182615047479912,1369,0.608640712582564,0.5588977791494291,0.8661654530265909,0.0440001487731933,-0.0499999523162841,20.350000381469727,0.6200001239776611,0.029282,-0.005816,0.005785,0.035067,1519.78,0.023126,0.029208,,,,-4.95513748952875,-0.6235470806387485,-20.000000000000465,-3.483714215606999,0,0.0,0.0106188209447088,0.0192237275723178,0.0020139143170999,5462,0.0
2007-10-31,rate_cut,4.75,4.5,-0.25,0.0,-0.25,Bernanke,conventional,0.0113154172560113,0.0353606789250353,-0.0127298444130127,1414,-2.642351350058826,-2.2485952470490025,-0.1641398728495896,-0.1139998435974121,-0.1150000095367431,18.530000686645508,0.6549999713897705,0.013188,-0.006892,-0.025887,-0.012699,1549.38,0.009577,0.011992,,,,-0.0882206456600283,2.067152540636245,-1.99999999999978,1.5614487229764011,0,0.0,0.0204100480236424,0.028075360177318,0.0127447358699667,5414,0.0
2007-12-11,rate_cut,4.5,4.25,-0.25,0.0,-0.25,Bernanke,conventional,0.0089798850574712,0.0352011494252873,-0.0172413793103448,1392,0.6050107439882448,0.7084206168136933,0.2588089133290276,0.0860002040863037,-0.059999942779541,23.59000015258789,1.1200001239776611,-0.025421,0.007767,0.005673,-0.0197479999999999,1477.65,-0.020362,-0.025271,,,,1.942922943073761,-0.2858782997706985,3.0999999999996586,0.7374362481112545,0,0.0,0.0154761904761904,0.0210884353741496,0.0098639455782312,5880,0.0
2008-01-30,rate_cut,3.5,3.0,-0.5,0.0,-0.5,Bernanke,forward_guidance,0.0077149155033063,0.032329169728141,-0.0168993387215282,1361,1.6772253672436226,1.7394681746221794,0.2281160848127474,-0.0940001010894775,-0.2700001001358032,27.6200008392334,1.5929999351501465,-0.005359,0.006401,0.01496,0.0096009999999999,1355.81,-0.002545,-0.004764,,,,-2.887785022340617,-0.2459687992692545,-11.499999999999844,-1.9156908668665067,0,0.0,0.0092001701765581,0.0146777281429483,0.003722612210168,9402,0.0
2008-03-18,rate_cut,3.0,2.25,-0.75,0.0,-0.75,Bernanke,forward_guidance,0.0103571428571428,0.035,-0.0142857142857142,1400,-2.428719849575588,-2.5702542291061703,-5.831339641962375,-0.0889999866485595,-0.25,25.790000915527344,2.5509999990463257,0.039596,-0.014947,-0.026077,0.013519,1330.74,0.028541,0.04241,,,,2.6906581181984515,-1.1524781855046666,9.538461538460488,0.6908918001338283,0,0.0,0.010836693548387,0.0142809139784946,0.0073924731182795,5952,0.0
2008-04-30,rate_cut,2.25,2.0,-0.25,0.0,-0.25,Bernanke,forward_guidance,0.0095338983050847,0.0374293785310734,-0.0183615819209039,1416,1.714071304344302,2.814568581526605,-1.6110296216464,-0.0099999904632568,0.0299999713897705,20.790000915527344,2.419000029563904,-0.001543,-0.00566,0.014565,0.0130219999999999,1385.59,0.00172,-0.003846,,,,-1.6325649621663696,-0.5442929338381952,-5.999999999999339,-1.381961860169286,0,0.0,0.0112237509051412,0.0183924692251991,0.0040550325850832,6905,0.0
2008-10-29,rate_cut,1.5,1.0,-0.5,0.0,-0.5,Bernanke,forward_guidance,0.0078740157480314,0.0365068002863278,-0.0207587687902648,1397,2.5803953710955634,2.492747422926453,-2.0722603399175035,0.0649998188018798,-0.1899999976158142,69.95999908447266,3.309000074863434,0.001444,0.095343,0.031975,0.033419,930.09,0.021629,-0.011079,,,,-1.0336839288075426,-1.1096586693131263,-3.5000000000007248,-1.5013029525330104,0,0.0,0.0067896489879579,0.0117858057904176,0.0017934921854983,7806,0.0
2008-12-16,rate_cut,1.0,0.25,-0.75,0.0,-0.75,Bernanke,forward_guidance,0.0082417582417582,0.0361067503924646,-0.0196232339089481,1274,-0.9592862125632649,-0.6654520726093736,3.065223644861108,-0.1729998588562011,-0.0200000004842877,52.369998931884766,2.337999915704131,0.052898,-0.013872,-0.004826,0.048072,913.18,0.046643,0.05136,,,,-4.210779153715667,-2.4914522410752173,-14.983333333335128,-4.4604486622583295,1,0.0082417582417582,0.0093382054405196,0.0163756935985925,0.0023007172824468,7389,0.0023007172824468
2009-01-28,unchanged,0.25,0.25,0.0,0.0,0.0,Bernanke,forward_guidance,0.0110340479192938,0.0390920554854981,-0.0170239596469104,1586,-3.3120172199171143,-3.2406279186593743,1.914198904102434,0.1590001583099365,0.0399999916553497,39.65999984741211,2.475999891757965,0.033821,0.011298,-0.032865,0.0009559999999999,874.09,0.030523,0.033558,,,,0.2855636066856883,-0.2339927190686585,0.4999999999999449,-0.0229582379778281,1,0.0110340479192938,0.0100198506475092,0.0194725399376122,0.0005671613574061,10579,0.0005671613574061
2009-03-18,unchanged,0.25,0.25,0.0,0.0,0.0,Bernanke,forward_guidance,0.0101373446697187,0.0392413342053629,-0.0189666448659254,1529,-1.297916268076772,-0.5190374583520041,7.831661373908422,0.0639998912811279,-0.0150000005960464,40.060001373291016,2.327999994158745,0.022385,0.031034,-0.008012,0.0143729999999999,794.35,0.034165,0.020858,,,,0.0715357211286884,-1.1325231610928128,-0.5961538461551041,-0.8667048336740523,1,0.0101373446697187,0.0070175438596491,0.0137426900584795,0.0002923976608187,6840,0.0002923976608187
