Date,STMT,PC,ME
1994-02-04,0.07437838577157461,NA,0.07928907944041423
1994-03-22,-0.025903687127996896,NA,-0.027035364681087172
1994-04-18,0.05914457475615729,NA,0.06349905351096671
1994-05-17,-0.019099451842207422,NA,-0.019350704241601954
1994-07-06,0.006706580794654066,NA,0.008509427125320304
1994-08-16,0.02591151543426557,NA,0.02862676405974103
1994-09-27,-0.010538306795641394,NA,-0.01032705886700295
1994-11-15,0.03131571971986852,NA,0.03426556331908308
1994-12-20,-0.01785906952524357,NA,-0.01857062871028053
1995-02-01,0.049970046156452966,NA,0.054316445005397875
1995-03-28,0.01582685084349923,NA,0.017762486724286843
1995-05-23,0.001132097360287157,NA,0.002204920453419679
1995-07-06,-0.1346353384664635,NA,-0.14227395022542658
1995-08-22,0.03074964660771438,NA,0.03362429123226047
1995-09-26,0.041634519257797785,NA,0.04543464449528538
1995-11-15,0.014487494016479967,NA,0.01606564432404715
1995-12-19,-0.030443995140108943,NA,-0.031705059213513166
1996-01-31,-0.01378629376265854,NA,-0.013551401785754187
1996-03-26,0.017240269601986907,NA,0.019139481706438366
1996-05-21,0.016026511473257912,NA,0.017971159432569713
1996-07-03,-0.007532885647488002,NA,-0.007038678282608605
1996-08-20,0.0059094994660179295,NA,0.007220663034728247
1996-09-24,-0.06172949118652853,NA,-0.06508846845333957
1996-11-13,-0.002085048325764449,NA,-0.0010932691138058148
1996-12-17,0.00959949920003229,NA,0.010910125451980729
1997-02-05,0.007265176819272857,NA,0.008500374824041805
1997-03-25,0.03930135135020436,NA,0.042786477935075805
1997-05-20,-0.03420505980071088,NA,-0.035710150753381326
1997-07-02,0.004262958384819103,NA,0.005590595381043104
1997-08-19,0.01019183640994159,NA,0.011780208931082052
1997-09-30,0.002695205189935164,NA,0.0038123176143011975
1997-11-12,-0.017448164661317028,NA,-0.017603116794195822
1997-12-16,0.00930515502131156,NA,0.010770860199055021
1998-02-04,0.01862447233821884,NA,0.020806846185073617
1998-03-31,0.00284301002967301,NA,0.0038999298408716647
1998-05-19,-0.005946339765460644,NA,-0.005384938548137663
1998-07-01,-0.017152174078310798,NA,-0.01729903157887915
1998-08-18,0.015058568145821858,NA,0.016948930406618046
1998-09-29,0.027539693565528878,NA,0.030661184474433976
1998-10-15,-0.11239851100251232,NA,-0.11883517905383181
1998-11-17,0.008718371029548564,NA,0.010596057996726421
1998-12-22,0.002534998477507951,NA,0.003688375490921078
1999-02-03,0.010165867005620402,NA,0.011884668338525455
1999-03-30,-0.0093948197261678,NA,-0.009033209633467945
1999-05-18,0.06971561642135844,NA,0.07466303447781947
1999-06-30,-0.05536214049137205,NA,-0.057878796138846056
1999-08-24,0.007532696008604185,NA,0.009190164363153976
1999-10-05,0.03695304219335552,NA,0.039936926058870205
1999-11-16,0.06616407479148853,NA,0.0722173362064176
1999-12-21,0.02526313368587794,NA,0.027664688200191197
2000-02-02,0.0029000785243200986,NA,0.004006957112412365
2000-03-21,0.006813892049417747,NA,0.008376638829862532
2000-05-16,0.03948196294985773,NA,0.0432048541188386
2000-06-28,-0.01581499144404811,NA,-0.01573800064937459
2000-08-22,0.015125613852628957,NA,0.017001953070446614
2000-10-03,0.02697639643477625,NA,0.02949266059972964
2000-11-15,0.008643510607247402,NA,0.010218601824465805
2000-12-19,0.017753343413801706,NA,0.020098996929095548
2001-01-03,-0.10841669230745855,NA,-0.11540318199577342
2001-01-31,0.009846600506080069,NA,0.012211764176601643
2001-03-20,-0.032618244746472166,NA,-0.033801111587625186
2001-04-18,-0.26461617103542073,NA,-0.2828643561706026
2001-05-15,-0.08312522884178257,NA,-0.0876320992335611
2001-06-27,0.05350347872755615,NA,0.05804530649246784
2001-08-21,-0.035213534275541795,NA,-0.03617182382394033
2001-09-17,-0.043205601726895096,NA,-0.045468429655156684
2001-10-02,-0.03226724063352559,NA,-0.033466581709971126
2001-11-06,-0.09602697159371665,NA,-0.10133599907986435
2001-12-11,-0.0349415934172425,NA,-0.035935313940858596
2002-01-30,0.02159056180192296,NA,0.02400139518662266
2002-03-19,-0.037473300593820334,NA,-0.038728199229737546
2002-05-07,-0.013923065335328742,NA,-0.013467465807052152
2002-06-26,0.010124361631788965,NA,0.011850041351477327
2002-08-13,-0.05089299910643626,NA,-0.05207784211232449
2002-09-24,-3.5474735359249717e-4,NA,0.00083371953133635655
2002-11-06,-0.05782248015135925,NA,-0.060929884434811094
2002-12-10,0.017719206246073108,NA,0.019657047474187183
2003-01-29,0.03158510723842112,NA,0.034581147169470555
2003-03-18,0.004807767650709005,NA,0.006084656160277096
2003-05-06,-0.04036764897039517,NA,-0.04139298648682821
2003-06-25,0.09005974476086556,NA,0.09702650624922676
2003-08-12,-0.01321755889587108,NA,-0.01257988292330172
2003-09-16,0.005906839788500257,NA,0.007321201605066158
2003-10-28,-0.039182341246200875,NA,-0.04010200478058099
2003-12-09,0.02207307084107688,NA,0.023968630056888037
2004-01-28,0.08333839052492498,NA,0.0885374334361557
2004-03-16,-0.024865190351078134,NA,-0.02492466744579287
2004-05-04,0.008828101010781828,NA,0.010277700838603868
2004-06-30,-0.010318916524381851,NA,-0.010062574924499098
2004-08-10,0.030360329083233013,NA,0.03321755958178353
2004-09-21,-0.002721795616719816,NA,-0.0017418811091015874
2004-11-10,-0.010415372616915886,NA,-0.009886851277495912
2004-12-14,-0.0016862438512532836,NA,-7.394992089831585e-4
2005-02-02,0.002350303035001809,NA,0.0036640074269649087
2005-03-22,0.04459656112800831,NA,0.04802701533284805
2005-05-03,0.019698207267442158,NA,0.021841854348530046
2005-06-30,0.030795295339589798,NA,0.03360116442596584
2005-08-09,-0.005039095994162225,NA,-0.00422526511881289
2005-09-20,0.02682966972642858,NA,0.029804278042784377
2005-11-01,0.012485721194373191,NA,0.014262485626466929
2005-12-13,-0.00999652869868511,NA,-0.009466459423188878
2006-01-31,0.025134170652318877,NA,0.027724174744599178
2006-03-28,0.03603751824941149,NA,0.03932653391559736
2006-05-10,0.03683369871991998,NA,0.0401260264355457
2006-06-29,-0.024359823374006023,NA,-0.024945886632105015
2006-08-08,-0.013062568745859373,NA,-0.012883432037266147
2006-09-20,0.014967007263918301,NA,0.016785496078501265
2006-10-25,6.599777190342028e-4,NA,0.001736816891992491
2006-12-12,-0.010463746932096993,NA,-0.009810466680478684
2007-01-31,0.0013480261139729279,NA,0.0024621305355389637
2007-03-21,-0.0417952390709845,NA,-0.04304488215725346
2007-05-09,0.02948181325690531,NA,0.03205547334202116
2007-06-28,0.013573018601350163,NA,0.015313296733923027
2007-08-07,-0.006365025201305929,NA,-0.005532369635211037
2007-08-10,0.0038817969209600798,NA,0.005094475952694397
2007-08-17,-0.003030734310334305,NA,-0.001796326031086667
2007-09-18,-0.1145939148315799,NA,-0.12144880863209667
2007-10-31,0.04222614982377912,NA,0.04573531926306165
2007-12-11,0.028249825905551133,NA,0.03196834647972965
