date,decision,rate_before,rate_after,rate_change,expected_change,surprise,chair,regime,sentiment,lm_score,cb_score,word_count,sp500_ret,nasdaq_ret,gold_ret,ty10_chg,tb13w_chg,vix,term_spread
2006-01-31,rate_hike,4.25,4.5,0.25,0.0,0.25,Greenspan,conventional,0.01126126126126126,0.03678678678678678,-0.014264264264264264,1332,0.18592626746128205,0.2055663535684106,-0.2452633862728851,0.03399991989135742,-0.007999897003173828,12.949999809265137,0.15700006484985352
2006-03-28,rate_hike,4.5,4.75,0.25,0.0,0.25,Bernanke,conventional,0.011151079136690646,0.038129496402877695,-0.015827338129496403,1390,0.7469695510914525,1.445894870129127,1.1295490098537417,0.032000064849853516,-0.02500009536743164,11.579999923706055,0.25099992752075195
2006-05-10,rate_hike,4.75,5.0,0.25,0.0,0.25,Bernanke,conventional,0.011969904240766074,0.03625170998632011,-0.012311901504787962,1462,-1.279807382021996,-2.070031079080443,2.2879032693836057,0.03000020980834961,-0.05699968338012695,11.779999732971191,0.3730001449584961
2006-06-29,rate_hike,5.0,5.25,0.25,0.0,0.25,Bernanke,conventional,0.01250893495353824,0.035025017869907075,-0.010007147962830594,1399,-0.2097656442177884,-0.10530795193493116,4.603580562659847,-0.06199979782104492,-0.004999637603759766,13.029999732971191,0.33500003814697266
2007-09-18,rate_cut,5.25,4.75,-0.5,0.0,-0.5,Bernanke,conventional,0.010226442658875094,0.03871439006574142,-0.018261504747991233,1369,0.608640712582564,0.5588977791494291,0.8661654530265909,0.04400014877319336,-0.04999995231628418,20.350000381469727,0.6200001239776611
2007-10-31,rate_cut,4.75,4.5,-0.25,0.0,-0.25,Bernanke,conventional,0.011315417256011314,0.03536067892503536,-0.01272984441301273,1414,-2.642351350058826,-2.2485952470490025,-0.16413987284958964,-0.11399984359741211,-0.11500000953674316,18.530000686645508,0.6549999713897705
2007-12-11,rate_cut,4.5,4.25,-0.25,0.0,-0.25,Bernanke,conventional,0.008979885057471264,0.035201149425287355,-0.017241379310344827,1392,0.6050107439882448,0.7084206168136933,0.25880891332902767,0.08600020408630371,-0.059999942779541016,23.59000015258789,1.1200001239776611
2008-01-30,rate_cut,3.5,3.0,-0.5,0.0,-0.5,Bernanke,forward_guidance,0.007714915503306392,0.03232916972814107,-0.01689933872152829,1361,1.6772253672436226,1.7394681746221794,0.22811608481274748,-0.09400010108947754,-0.2700001001358032,27.6200008392334,1.5929999351501465
2008-03-18,rate_cut,3.0,2.25,-0.75,0.0,-0.75,Bernanke,forward_guidance,0.01035714285714286,0.035,-0.014285714285714285,1400,-2.4287198495755873,-2.5702542291061703,-5.831339641962375,-0.08899998664855957,-0.25,25.790000915527344,2.5509999990463257
2008-04-30,rate_cut,2.25,2.0,-0.25,0.0,-0.25,Bernanke,forward_guidance,0.009533898305084746,0.03742937853107345,-0.018361581920903956,1416,1.714071304344302,2.814568581526605,-1.6110296216464,-0.009999990463256836,0.029999971389770508,20.790000915527344,2.419000029563904
