,target_shock,path_shock
1995-02-01,1.5467584369153204,0.26418494271713816
1995-03-28,0.7199665208127279,0.5372392536929281
1995-05-23,0.10232391633707026,-0.06561973136831244
1995-07-06,-2.750982088361826,-3.9214590903555253
1995-08-22,1.2957610198555023,0.2400666219687857
1995-09-26,1.1402926814631125,0.8710804635550713
1995-11-15,0.5022319912146286,0.012764390973497776
1995-12-19,-2.3948934393049557,0.8014587012421709
1996-01-31,-0.3712590449369756,-0.4969065996838897
1996-03-26,0.1859155939843711,0.5627121773556025
1996-05-21,0.17111973804111927,0.5984710702235718
1996-07-03,-0.9031651482588365,0.3099087116302303
1996-08-20,-0.3924071523277697,0.5330840825834487
1996-09-24,-3.2109025955228616,0.22381798650345472
1996-11-13,-0.1099721259158825,-0.3470109586566798
1996-12-17,0.08972708192297357,0.20930795577800007
1997-02-05,-0.49524751577418513,0.9342963101425024
1997-03-25,1.1147712891949293,0.8538626785362301
1997-05-20,-2.36037651748039,0.30043577178420183
1997-07-02,-0.14529218680390757,0.23398024577047974
1997-08-19,-0.07177246454671422,0.3069324864553503
1997-09-30,0.07734980118877252,0.016296080406548927
1997-11-12,-0.7874327717608038,0.028238585675759126
1997-12-16,-0.041302366226346525,-0.08738990740364744
1998-02-04,0.12675986932315977,0.41449740066300755
1998-03-31,-0.2656791020519298,0.2377688773366942
1998-05-19,-0.44908779311514724,0.1969468592154424
1998-07-01,0.38297362208837626,0.04871300927389607
1998-08-18,0.09038413588282361,0.07447177131312249
1998-09-29,1.8644361937314131,-0.6285551901613098
1998-11-17,-0.9000104922183874,0.5191246746786831
1998-12-22,0.23544611441421598,-0.07483397755891996
1999-02-03,0.05735999532788672,0.23042041753807238
1999-03-30,-0.14629756791414839,-0.37514144410363065
1999-05-18,-0.30896955468436904,3.318859779529564
1999-06-30,-1.171554902623522,-1.6013690513530108
1999-08-24,0.9506431800206352,-0.6236589466770583
1999-10-05,-0.9876720299517173,2.56662408668769
1999-11-16,2.577465558318388,0.3200203229977365
1999-12-21,-0.10638663145311797,1.146586579032548
2000-02-02,-1.0694072983959984,1.035056293398035
2000-03-21,-0.02310386361169716,0.22432251375694864
2000-05-16,1.402860900236943,0.3259753386810476
2000-06-28,-0.2498435980338041,-0.3421871054854174
2000-08-22,-0.26389325638808225,0.7186853814477474
2000-10-03,0.048586741227070226,1.139802968133802
2000-11-15,0.252013059642706,0.15407338592707154
2000-12-19,1.8767668746189463,-0.6373820949463543
2001-01-31,1.0764946721877096,-1.1014159019521048
2001-03-20,0.7191047603128266,-2.276037746092542
2001-05-15,-2.6725954841503814,-1.416458720946165
2001-06-27,2.2974290310961796,0.18334565096286976
2001-08-21,0.8142653110143584,-1.233273512178114
2001-10-02,-1.0740371167664255,-0.6664971917183135
2001-11-06,-3.551621842138174,-1.0231907798629971
2001-12-11,0.031203838520610948,-1.7636296756521084
2002-01-30,0.6494500485892711,0.3704806014586492
2002-03-19,-0.5518000228654567,-1.1237820989221783
2002-05-07,0.39973314018993217,-1.1957575804737053
2002-06-26,0.22833137824233465,0.26955702475173654
2002-08-13,1.0985882320118767,-3.5169313268139613
2002-09-24,0.5252501515297855,-0.5097725205797373
2002-11-06,-4.720014066474703,1.2170505286907054
2002-12-10,0.11146033291760171,0.6336255652050987
2003-01-29,0.3919291007216227,0.8962023072464591
2003-03-18,0.2927970969677169,-0.30198455318298084
2003-05-06,1.054035226384529,-2.860013586783332
2003-06-25,3.232848774848498,0.9400496054278397
2003-08-12,0.4728381905997459,-1.1558335937206063
2003-09-16,0.3381408724352912,-0.17015471808006447
2003-10-28,0.46203528441072417,-2.433940922621127
2003-12-09,-0.26850102966811673,1.352251011722681
2004-01-28,-0.480522089958845,3.992300364662042
2004-03-16,0.35863480387834834,-1.598648442222903
2004-05-04,-0.0856721845577082,0.41260433821168147
2004-06-30,-0.37688003282149757,-0.15043687710236553
2004-08-10,0.44231251341897815,0.7696172851492294
2004-09-21,0.3181108764285691,-0.44576416373797006
2004-11-10,0.1959409015385649,-0.6996028825329901
2004-12-14,-0.011518321647915606,-0.11995911823114072
2005-02-02,-0.06889378551620075,-0.29112498388022545
2005-03-22,-0.3442278634854357,2.248423526524088
2005-05-03,0.21865232936245396,0.5290687772664323
2005-06-30,0.01388190136274625,1.1630816941941582
2005-08-09,0.236126187884604,-0.4614566796113799
2005-09-20,1.419649657737202,-0.4273581358171102
2005-11-01,0.005496922326363615,0.4132025558076289
2005-12-13,0.11530784591404487,-0.49521024432212074
2006-01-31,0.3987485911527393,0.7046261016213693
2006-03-28,0.26005393419158845,1.2408831138111704
2006-05-10,0.22892216759513706,1.351522891856268
2006-06-29,-0.3653419077791956,-0.5109498630665854
2006-08-08,-0.7847773713587116,-0.015180901610976903
2006-09-20,-0.24931784616791844,0.8005542769371179
2006-10-25,0.09738052070768824,-0.14918266409085695
2006-12-12,0.24998005526174252,-0.9153911285242337
2007-01-31,-0.059976111901211666,-0.05562776515656611
2007-03-21,0.5023512891228746,-2.41993536336332
2007-05-09,-0.030656056533890835,1.1397281470759197
2007-06-28,0.00708323805137972,0.4616701333207469
2007-08-07,0.38503562621644755,-0.7748526217188832
2007-09-18,-4.95513748952875,-0.6235470806387485
2007-10-31,-0.08822064566002835,2.067152540636245
2007-12-11,1.9429229430737607,-0.28587829977069856
2008-01-30,-2.887785022340617,-0.2459687992692545
2008-03-18,2.6906581181984515,-1.1524781855046666
2008-04-30,-1.6325649621663696,-0.5442929338381952
2008-06-25,-0.39527632340447766,-0.6106012814813195
2008-08-05,-0.09304381633126384,-0.5427222074802575
2008-09-16,3.147804330210424,-0.2242106476394756
2008-10-29,-1.0336839288075426,-1.1096586693131265
2008-12-16,-4.210779153715667,-2.4914522410752173
2009-01-28,0.2855636066856883,-0.23399271906865857
2009-03-18,0.07153572112868846,-1.1325231610928128
2009-04-29,-0.017890877096900553,0.5435859450955158
2009-06-24,-0.01369912632752192,1.2392131799319523
2009-08-12,0.09000520378568985,-0.34587634031471837
2009-09-23,0.08627089016588217,-2.3158299756943665
2009-11-04,0.03258809062557829,-0.3678137134310719
2009-12-16,-0.296587749565936,0.47710879356317126
2010-01-27,-0.11054828460148708,0.9260067108644633
2010-03-16,-0.05057091224716089,-0.8020957610047237
2010-04-28,-0.00747579163640711,-0.06839581511811264
2010-06-23,0.0840857186757961,0.21193561488637175
2010-08-10,0.16331685264550053,-0.6416790204487024
2010-09-21,0.2075748702111649,-0.2464553577909618
2010-11-03,0.3871016632344076,-0.20967743721458215
2010-12-14,0.18770919038310824,-0.05719193127784772
2011-01-26,0.12942518378480827,-0.1295745838067981
2011-03-15,0.05889285338756454,0.12729973763476893
2011-04-27,-0.09593038048528345,-0.17853272531454606
2011-06-22,0.0460772688334768,0.23567573575479134
2011-08-09,0.22112579286954237,-0.7381164694509629
2011-09-21,0.3310100209033926,1.1977873808962813
2011-11-02,-0.0015702727973757426,0.41735488047251884
2011-12-13,0.1384123636739121,0.2417579704022916
2012-01-25,0.1538779923663267,-0.44988072575323196
2012-03-13,0.10659255419908353,0.3620040289562837
2012-04-25,-0.09811109273128386,0.17075446329958624
2012-06-20,0.23135244463390506,0.39978455902292764
2012-08-01,0.5006355354622913,0.12695301375712983
2012-09-13,0.3857440913287277,0.20457270068300804
2012-10-24,-0.008829543032491758,0.07268609019239827
2012-12-12,0.17298230697303105,-0.08076656094968161
2013-01-30,0.07706750168445901,-0.021536383469555817
2013-03-20,0.15722654528949848,0.11874497196185493
2013-05-01,0.09038413588282361,0.07447177131312249
2013-06-19,0.14290121029599684,0.09303139502289395
2013-07-31,0.1225324723379187,-0.11319237947331116
2013-09-18,0.0819551783792399,-0.27184350586473777
2013-10-30,0.07137991096167119,0.08634183174736457
2013-12-18,0.10938836080394833,0.06260171087897137
2014-01-29,0.09038413588282361,0.07447177131312249
2014-03-19,-0.0048565424028375395,0.6017616360020809
2014-04-30,0.07756855132877809,0.18284776943311853
2014-06-18,0.03890304752662206,0.34142407476647507
2014-07-30,0.12199793091939773,-0.08503828925287037
2014-09-17,0.053630422237220726,0.5502755083710918
2014-10-29,0.05556153045449513,0.7728121127325153
2014-12-17,0.23726270984234143,-1.6038094910949352
2015-01-28,0.1225324723379768,-0.11319237947357234
2015-03-18,0.05577236036097766,-1.6268865218603634
2015-04-29,0.08984959446427225,0.1026258615337335
2015-06-17,-0.042805264235726406,-0.8969241118088501
2015-07-29,-0.015524546861163958,-0.07430785165355418
2015-09-17,-1.4843952472459105,-0.3787068770177032
2015-10-28,0.06169226117440873,1.089946588087466
2015-12-16,0.4905468303032785,0.4134075238997948
2016-01-27,-0.07981860663765922,-0.6399438104261714
2016-03-16,-0.594420449651158,-1.4940631446675787
2016-04-27,-0.10512386190002745,0.4503543539275026
2016-06-15,-0.1777832277069232,-0.737434673246432
2016-07-27,-0.00683916226062403,0.26787169625568424
2016-09-21,-0.9057417750172263,0.021703630946225707
2016-11-02,0.168657838425545,0.14545771138347877
2016-12-14,-0.16018254071250113,1.25784344785178
2017-02-01,-0.11642141468532052,-0.3137314253696552
2017-03-15,0.21010096311952403,-0.9910124476103674
2017-05-03,0.29916953606996416,0.25726832793515264
