Date,target,path
1994-02-04,-0.009128564779753127,0.06933018676502359
1994-03-22,-0.0035482150347300335,-0.010126593498316747
1994-04-18,-0.007719352577406533,0.059479782742080795
1994-05-17,-0.028058201724856218,0.0035747287416846656
1994-07-06,0.0059848217101414955,-0.0021757526378241624
1994-08-16,-0.01763250832745361,0.03039027372409971
1994-09-27,0.012667576837098854,-0.017141565380972355
1994-11-15,-0.01352637176483097,0.05030763829298717
1994-12-20,0.034927426138034116,-0.03841703171185121
1995-02-01,-0.003958289889892871,0.037896330402081915
1995-03-28,0.004875797218011326,0.014863089837930043
1995-05-23,-0.003458842288087129,0.0036196165990076156
1995-07-06,-0.021453611517845906,-0.08838208384490161
1995-08-22,0.002768075846388566,0.024187212771379505
1995-09-26,0.007463864259948599,0.03012705709253332
1995-11-15,-0.004798355051468009,0.02542592367335576
1995-12-19,0.004694992397413595,-0.038312467566885514
1996-01-31,-0.0030979420555518264,-0.009913840494618457
1996-03-26,0.0019349268285677062,0.01464293807525461
1996-05-21,0.0018710297768007238,0.014270639165747516
1996-07-03,0.010166900902243379,-0.01736891996773198
1996-08-20,0.0045938044686432734,0.0033448845779165104
1996-09-24,0.005622336528943912,-0.05934077731168039
1996-11-13,-0.0041377366003524105,-0.00035264601818779895
1996-12-17,0.0018554260801504914,0.00794478572053681
1997-02-05,0.008666559633244171,0.002991808981204567
1997-03-25,0.0017901230409904456,0.03664476992865604
1997-05-20,0.0055040172185373635,-0.04054295486761903
1997-07-02,0.00206676025149277,-0.00934753900465823
1997-08-19,0.002375852748400377,0.007001644645178484
1997-09-30,0.0015659041358594276,-0.002010810484393619
1997-11-12,0.0035219174416831625,-0.01540259964900177
1997-12-16,0.0015254347177938487,0.006213729254925007
1998-02-04,-0.004372572491080873,0.018736825735546022
1998-03-31,0.001237968556504361,0.003471678769994141
1998-05-19,0.003802843813929346,-0.006879635258745036
1998-07-01,-0.005672027456062208,-0.007036791589283021
1998-08-18,0.0010390659620935516,0.011618579025238012
1998-09-29,-0.006327312420038585,0.03243475505458239
1998-10-15,-0.0020802013174100343,-0.09964717986663751
1998-11-17,0.00954473630277495,-0.013662147633335266
1998-12-22,0.0009992812166817388,0.006422739094603312
1999-02-03,1.3632187442527865e-05,0.008201424608540803
1999-03-30,-0.005398840795228091,-0.002286173416503562
1999-05-18,0.026671877026055675,0.043789369289066196
1999-06-30,-0.014623436607849701,-0.04451722060863054
1999-08-24,-0.008272717700455809,0.015589511859586954
1999-10-05,0.025468692982430007,0.024092681401264478
1999-11-16,0.0005460066394436463,0.05379771055560818
1999-12-21,0.007096737450009874,0.014856705882611952
2000-02-02,0.011758472444056338,-0.006878731822786783
2000-03-21,0.003920288238350192,-0.0013694845242295639
2000-05-16,-0.00012134968436796096,0.037146260838188595
2000-06-28,-0.00486550907580879,-0.01042103556548159
2000-08-22,0.0012284008925338957,0.017766352000819965
2000-10-03,0.008543137487595647,0.02132118878704801
2000-11-15,0.0005158403642062,0.008605241512496378
2000-12-19,-0.007984830163813903,0.018232886006922272
2001-01-03,0.05766870209721635,-0.12126474120287717
2001-01-31,-0.010256650125615111,0.010639051648674746
2001-03-20,-0.021590335112148133,-0.01395358546613668
2001-04-18,0.012472377400176551,-0.29197078829648493
2001-05-15,-0.009571890407410666,-0.0807953839868241
2001-06-27,-0.0033453227101812376,0.05758888457609817
2001-08-21,-0.02123877664483439,-0.016085441178661158
2001-09-17,0.023822189745437067,-0.023377131949409435
2001-10-02,-0.003851180021606332,-0.03631674785305392
2001-11-06,0.001501153628029852,-0.10052773226918633
2001-12-11,-0.016107892119664825,-0.024207696715626278
2002-01-30,0.0018685625716025945,0.020452539485251296
2002-03-19,-0.008959475875268005,-0.025873397664319522
2002-05-07,-0.01066063462268883,-0.009560700355000357
2002-06-26,0.0008216699836888731,0.009399201149585456
2002-08-13,-0.03431241780014141,-0.02285476759215915
2002-09-24,-0.0071350698730978,0.006291996380393727
2002-11-06,0.027384030659929427,-0.07112443259650397
2002-12-10,0.004865050998543509,0.009619344570584117
2003-01-29,0.007913565940909313,0.022327335375800523
2003-03-18,-0.0042190991749866905,0.007649688635914124
2003-05-06,-0.026578638610092742,-0.02108908100468456
2003-06-25,0.0030062096530071502,0.08224165613054624
2003-08-12,-0.009774276685394406,-0.0034719402939520244
2003-09-16,-0.0008190279045613972,0.004989596222395057
2003-10-28,-0.020705404162213985,-0.018604401847438258
2003-12-09,0.00825974223986692,0.012103041325141443
2004-01-28,0.03350839722698861,0.041634205196412206
2004-03-16,-0.016656377031313792,-0.011257133427179846
2004-05-04,0.00415137487006882,0.002926247238320756
2004-06-30,-0.0043027229817424245,-0.010313022841315248
2004-08-10,0.005927373479732385,0.03146127058698315
2004-09-21,-0.004249025138933596,0.0004997722844026596
2004-11-10,-0.0063603927929983374,-0.0019899619442838865
2004-12-14,-0.003577136960441512,5.8351046740067773e-05
2005-02-02,-0.0018555810575343048,0.0018231605929671
2005-03-22,0.01643732890028813,0.026543190582718115
2005-05-03,0.005404400990709543,0.01368693818993623
2005-06-30,0.010966207284619127,0.023797417684564188
2005-08-09,-0.0033820832399243123,-0.003545882144235229
2005-09-20,-0.003368934819960055,0.027460291905963653
2005-11-01,0.003722130818419446,0.009389148451723336
2005-12-13,-0.005804289731435708,-0.004547345756928378
2006-01-31,0.005024379670981724,0.020243807158321987
2006-03-28,0.008844448621321789,0.026804527962206906
2006-05-10,0.010408196530762154,0.02913852011352103
2006-06-29,-0.0077414895407450935,-0.019088880760302608
2006-08-08,0.0035300087570468565,-0.019764194009870662
2006-09-20,0.004305219180617734,0.010427449763238757
2006-10-25,-0.002253608612662569,0.0009462151758538259
2006-12-12,-0.00815729326784911,-0.003954637048452851
2007-01-31,-0.0010131242446963092,0.0028966530708275456
2007-03-21,-0.02041128373891647,-0.023440833492212942
2007-05-09,0.008873423825622557,0.018174686005808988
2007-06-28,0.0032483213841647193,0.009442791310879384
2007-08-07,-0.008085199158915582,0.00023836432786375353
2007-08-10,-0.0028811359150618136,0.00852648139956593
2007-08-17,-0.006270878595919754,-0.01659577114592114
2007-09-18,0.003994773046555282,-0.10891499342490644
2007-10-31,0.017790680616536454,0.028890925358281236
2007-12-11,-0.004389541970533251,0.03721571287133754
2008-01-22,0.0504033001909838,-0.0984044016609609
2008-01-30,-0.006512768097508827,-0.07326171837224932
2008-03-11,0.004909931109089029,0.06823973882052992
2008-03-18,-0.017980993299599103,0.05118894340794418
2008-04-30,-0.004893289344939718,-0.037633109819482466
2008-06-25,-0.008550267578317656,-0.0212266633851271
2008-08-05,-0.005618657175037497,-0.013106286601515327
2008-09-16,-0.0036631365710084397,0.08282855315936086
2008-10-08,0.018683103147288733,-0.017187984199971598
2008-10-29,-0.0054970213196526025,-0.025139663992177246
2008-12-16,-0.01793546157936116,-0.1327691052745858
2009-01-28,-0.003110970190413936,0.004431612608143874
2009-03-18,-0.011923877594231714,-0.01319266327249401
2009-04-29,0.0038449886013656714,0.009134942510717534
2009-06-24,0.009265837081326816,0.016470563001779567
2009-08-12,-0.006129684386538108,-0.001635850185348278
2009-09-23,-0.020603089177573506,-0.024455839137425245
2009-11-04,-0.00464816769005441,-0.005278341623610178
2009-12-16,0.004566551982336648,0.0016001442076892735
2010-01-27,0.008085857403104997,0.011037915837979957
2010-03-16,-0.007620674423094755,-0.008364952215353955
2010-04-28,-0.0023612895880773576,-0.0008079178283859136
2010-05-09,-0.003303061004328074,-0.0010133096473588835
2010-06-23,-0.00036669536424229084,0.006667845515635998
2010-08-10,-0.006675796088445515,0.0004142721823061611
2010-09-21,-0.002693449279021572,0.004249407598705233
2010-11-03,-0.0032105800511317267,0.00934299965326798
2010-12-14,-0.0015682125614611016,0.007199846642827303
2011-01-26,-0.0018465352141516043,0.0017717794046887515
2011-03-15,0.002176624551487317,0.006710574631240657
2011-04-27,-0.0039028746498094694,0.0007297750765788918
