Date,target_shock,path_shock
1994-02-04,0.06547771412820082,0.0013576377982331674
1994-03-22,-0.006024770729571111,-0.00424941917869552
1994-04-18,0.0661478192940836,-0.010898744841054887
1994-05-17,0.033064461320349466,-0.04997531449392522
1994-07-06,-0.0062254543342940335,0.007431044543415452
1994-08-16,0.03734160048225598,-0.02195314899962449
1994-09-27,-0.029378809050294694,0.024290543955222593
1994-11-15,0.052736718922052936,-0.011216396409160482
1994-12-20,-0.06053823840962947,0.052670245819785286
1995-02-01,0.037420868317154056,-0.0006236857126952459
1995-03-28,0.005904806675894971,0.01454752643914932
1995-05-23,0.007230727743122009,-0.006388282126098361
1995-07-06,-0.06507158826794943,-0.042980171365751656
1995-08-22,0.01597704545144878,0.01057028305265866
1995-09-26,0.018340063715262388,0.016721032793260465
1995-11-15,0.02415380801741995,-0.0027758330582720345
1995-12-19,-0.03241781043293363,-0.001939029428616018
1996-01-31,-0.005175501295472867,-0.008352861773978102
1996-03-26,0.01047490535510877,0.006641326924659952
1996-05-21,0.010454856406921528,0.007123091396584655
1996-07-03,-0.0227884508856042,0.01483368568215374
1996-08-20,0.0003931938917298291,0.008793513301478437
1996-09-24,-0.06024067107540033,0.008105938238756251
1996-11-13,0.0033237740961782254,-0.00786732408912336
1996-12-17,0.007213025354437437,0.00468031652352875
1997-02-05,-0.004766827944916423,0.016886055315846325
1997-03-25,0.030050486587858933,0.0095487974082466
1997-05-20,-0.038900707219828516,0.004041544540867709
1997-07-02,-0.007074221266979394,-0.0010537177855043912
1997-08-19,0.003306071707492346,0.006784295873374064
1997-09-30,-0.003237866804080261,0.002404382011887983
1997-11-12,-0.01659534909662061,0.0035951903011516317
1997-12-16,0.004614290386036011,0.003452739605668423
1998-02-04,0.019102628440849215,-0.0019012281838567547
1998-03-31,0.001496275846049016,0.0031888108422111964
1998-05-19,-0.00927570515450914,0.0063401235214477205
1998-07-01,0.0020311871643690325,-0.0149237601768298
1998-08-18,0.010443421299483316,0.0028918022106750375
1998-09-29,0.03492537450760118,-0.01166494765767559
1998-10-15,-0.08195101451949939,-0.021707527093683555
1998-11-17,-0.021039547109336674,0.016382951514841426
1998-12-22,0.0035067886061129886,0.0026574180170284
1999-02-03,0.007246323757406339,0.0016879591850970516
1999-03-30,0.0014499636823949442,-0.008600718831028094
1999-05-18,0.011232260378145864,0.0619815751293545
1999-06-30,-0.022674007074732893,-0.035066045800546765
1999-08-24,0.01995138833169233,-0.011572982472437432
1999-10-05,-0.003508149845179221,0.051478247144400295
1999-11-16,0.04194042829582518,0.011877752470099498
1999-12-21,0.004220081772832857,0.019384176816128973
2000-02-02,-0.014111126262283872,0.01677555896269813
2000-03-21,-0.004438519581986946,0.006060885776061903
2000-05-16,0.03199540370454751,0.004732577422752946
2000-06-28,-0.0045336456181828055,-0.010470864335380949
2000-08-22,0.01990862016006365,0.0014902173875665236
2000-10-03,0.009200978905383697,0.021139847262791396
2000-11-15,0.0072258381210032864,0.0016708725805517491
2000-12-19,0.021781417315659683,-0.011272426294708475
2001-01-03,-0.15161468492248076,0.06711713520623619
2001-01-31,0.01616933635086267,-0.01967475897182329
2001-03-20,0.006233519333898579,-0.03904784470967796
2001-04-18,-0.2408407813045347,-0.031986678830646646
2001-05-15,-0.056359646775332665,-0.03492673764272652
